CBSA,CBSA Code,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI
"Nashville-Davidson--Murfreesboro--Franklin, TN",34980,213,177,35,1,0,0,0,121
"New Castle, IN",35220,89,80,9,0,0,0,0,63
"New Castle, PA",35260,210,204,6,0,0,0,0,93
"New Haven-Milford, CT",35300,183,142,40,1,0,0,0,101
"New Orleans-Metairie, LA",35380,275,188,87,0,0,0,0,91
"New York-Newark-Jersey City, NY-NJ-PA",35620,275,175,92,8,0,0,0,140
"Niles-Benton Harbor, MI",35660,134,119,9,6,0,0,0,150
"Nogales, AZ",35700,271,213,56,1,1,0,0,165
"North Port-Sarasota-Bradenton, FL",35840,182,149,33,0,0,0,0,97
"Norwich-New London, CT",35980,181,164,17,0,0,0,0,87
"Ocala, FL",36100,182,142,40,0,0,0,0,100
"Odessa, TX",36220,197,179,18,0,0,0,0,95
"Ogden-Clearfield, UT",36260,306,178,114,13,1,0,0,155
"Ogdensburg-Massena, NY",36300,274,216,44,14,0,0,0,118
"Oklahoma City, OK",36420,275,163,107,5,0,0,0,121
"Olympia-Tumwater, WA",36500,244,238,6,0,0,0,0,67
"Omaha-Council Bluffs, NE-IA",36540,305,240,63,1,1,0,0,156
"Orlando-Kissimmee-Sanford, FL",36740,183,151,32,0,0,0,0,93
"Othello, WA",36830,242,242,0,0,0,0,0,40
"Ottawa-Peru, IL",36860,253,253,0,0,0,0,0,26
"Owensboro, KY",36980,182,154,27,1,0,0,0,105
"Oxford, NC",37080,207,206,1,0,0,0,0,51
"Oxnard-Thousand Oaks-Ventura, CA",37100,274,178,80,13,3,0,0,153
"Paducah, KY-IL",37140,188,155,31,2,0,0,0,111
"Pahrump, NV",37220,182,176,6,0,0,0,0,97
"Palatka, FL",37260,182,181,1,0,0,0,0,67
"Palm Bay-Melbourne-Titusville, FL",37340,182,157,25,0,0,0,0,80
"Panama City, FL",37460,179,152,25,2,0,0,0,146
"Parkersburg-Vienna, WV",37620,274,258,16,0,0,0,0,80
"Payson, AZ",37740,274,160,101,10,3,0,0,174
"Pensacola-Ferry Pass-Brent, FL",37860,182,127,55,0,0,0,0,84
"Peoria, IL",37900,274,233,40,1,0,0,0,115
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,305,201,99,5,0,0,0,129
"Phoenix-Mesa-Scottsdale, AZ",38060,275,51,179,42,3,0,0,199
"Pierre, SD",38180,178,176,2,0,0,0,0,76
"Pittsburgh, PA",38300,275,154,112,9,0,0,0,142
"Pittsfield, MA",38340,224,202,22,0,0,0,0,80
"Platteville, WI",38420,177,147,30,0,0,0,0,81
"Pocatello, ID",38540,182,154,27,1,0,0,0,104
"Point Pleasant, WV-OH",38580,274,247,22,5,0,0,0,116
"Ponca City, OK",38620,279,226,51,2,0,0,0,113
"Ponce, PR",38660,232,217,15,0,0,0,0,81
"Port Angeles, WA",38820,244,241,3,0,0,0,0,59
"Port St. Lucie, FL",38940,182,155,27,0,0,0,0,84
"Portland-South Portland, ME",38860,306,269,37,0,0,0,0,87
"Portland-Vancouver-Hillsboro, OR-WA",38900,244,219,22,3,0,0,0,112
"Portsmouth, OH",39020,274,272,2,0,0,0,0,53
"Prescott, AZ",39140,271,205,65,1,0,0,0,119
"Price, UT",39220,289,247,42,0,0,0,0,93
"Prineville, OR",39260,129,122,7,0,0,0,0,61
"Providence-Warwick, RI-MA",39300,275,209,62,3,1,0,0,154
"Provo-Orem, UT",39340,306,195,106,5,0,0,0,150
"Pueblo, CO",39380,68,65,3,0,0,0,0,63
"Pullman, WA",39420,244,241,3,0,0,0,0,62
"Quincy, IL-MO",39500,213,189,24,0,0,0,0,84
"Racine, WI",39540,93,78,11,3,1,0,0,172
"Raleigh, NC",39580,274,218,55,1,0,0,0,101
"Rapid City, SD",39660,182,157,25,0,0,0,0,81
"Reading, PA",39740,244,190,54,0,0,0,0,97
"Red Bluff, CA",39780,213,170,43,0,0,0,0,93
"Red Wing, MN",39860,108,100,8,0,0,0,0,87
"Redding, CA",39820,241,220,20,1,0,0,0,115
"Reno, NV",39900,245,177,57,6,5,0,0,163
"Richmond, VA",40060,276,262,14,0,0,0,0,71
"Riverside-San Bernardino-Ontario, CA",40140,305,56,165,54,22,6,2,576
"Riverton, WY",40180,182,155,27,0,0,0,0,77
"Roanoke Rapids, NC",40260,267,257,10,0,0,0,0,88
"Roanoke, VA",40220,275,257,18,0,0,0,0,69
"Rochester, MN",40340,182,151,31,0,0,0,0,100
"Rochester, NY",40380,275,239,36,0,0,0,0,80
"Rock Springs, WY",40540,238,178,54,3,2,0,1,1250
"Rockford, IL",40420,274,213,60,1,0,0,0,101
